street,zipcode,city,useCode,taxAssessmentYear,taxAssessment,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,amount,regionName,regionType
16072 Columbus Ln,91343,North Hills,Condominium,2018,769400.0,2017,NA,2981,3.0,4,806082,North Hills,neighborhood
12075 Rossiter Ave,91342,Sylmar,SingleFamily,2018,271952.0,1963,7699,1580,2.0,4,547146,Sylmar,neighborhood
10942 Mcvine Ave,91040,Sunland,SingleFamily,2018,438504.0,1952,5868,1140,2.0,3,605966,Sunland,neighborhood
4304 E 4th St,90022,Los Angeles,SingleFamily,2018,45924.0,1948,2728,1124,2.0,3,416721,East Los Angeles,city
2744 Glendower Ave,90027,Los Angeles,SingleFamily,2018,228707.0,1932,6967,3257,3.75,5,2547583,Los Feliz,neighborhood
1032 W 37th St,90731,San Pedro,Quadruplex,2018,524049.0,1958,5850,3852,5.0,6,1038966,San Pedro,neighborhood
6700 W 87th Pl,90045,Los Angeles,SingleFamily,2018,688435.0,1946,5998,1092,1.0,3,992422,Westchester,neighborhood
17251 Kalisher St,91344,Granada Hills,SingleFamily,2018,624000.0,1954,10185,1706,2.0,5,683857,Granada Hills,neighborhood
4624 Ellenita Ave,91356,Tarzana,SingleFamily,2018,479001.0,1965,18901,3069,4.0,5,1336623,Tarzana,neighborhood
4615 Riverton Ave,91602,North Hollywood,Triplex,2018,285069.0,NA,NA,NA,NA,NA,874117,Toluca Lake,neighborhood
6245 Delfino St,91042,Tujunga,SingleFamily,2018,264794.0,1956,8979,1565,2.0,3,810238,Tujunga,neighborhood
10245 Glade Ave,91311,Chatsworth,SingleFamily,2018,412289.0,1975,5075,2077,3.0,3,674855,Chatsworth,neighborhood
1366 Wildwood Dr,90041,Los angeles,SingleFamily,2018,653066.0,1950,13040,1316,1.75,3,914688,Eagle Rock,neighborhood
1847 Nichols Canyon Rd,90046,Los Angeles,SingleFamily,2018,625419.0,1935,21893,1994,2.0,3,2372099,Hollywood Hills,neighborhood
3723 Locke Ave,90032,Los Angeles,MultiFamily2To4,2018,455695.0,1922,7151,1801,2.0,6,665785,El Sereno,neighborhood
3315 E 3rd St,90063,Los Angeles,Triplex,2018,99278.0,1968,5000,3451,5.0,5,775161,Boyle Heights,neighborhood
4919 Arcola Ave,91601,North Hollywood,SingleFamily,2018,807558.0,1941,7630,3042,2.0,2,1334704,Toluca Lake,neighborhood
18325 Blythe St,91335,Reseda,SingleFamily,2018,568182.0,2012,6438,2794,3.0,5,752570,Reseda,neighborhood
18743 Romar St,91324,Northridge,SingleFamily,2018,365105.0,1968,9471,1568,2.0,3,677224,Northridge,neighborhood
1725 W 42nd Pl,90062,Los Angeles,SingleFamily,2018,195629.0,1913,5875,1322,1.0,2,595231,South Los Angeles,neighborhood
6724 Bellingham Ave,91606,North Hollywood,SingleFamily,2018,72643.0,1946,6758,1264,2.0,3,630616,North Hollywood,neighborhood
10042 Sylvia Ave,91324,Northridge,SingleFamily,2018,397424.0,1900,17556,9337,6.0,5,874002,Northridge,neighborhood
2513 S Harcourt Ave,90016,Los Angeles,SingleFamily,2018,234688.0,1924,4396,1176,1.0,3,651691,West Adams,neighborhood
3721 Mentone Ave APT 8,90034,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,NA,1.0,1,1588011,Palms,neighborhood
16259 Stare St,91343,North Hills,SingleFamily,2018,581400.0,1957,7405,2015,2.0,4,643479,North Hills,neighborhood
917 Blades St,90063,Los Angeles,SingleFamily,2018,168678.0,1924,1603,848,1.0,2,422480,Boyle Heights,neighborhood
7446 Forbes Ave,91406,Van Nuys,SingleFamily,2018,507005.0,1956,6451,1817,2.0,3,671226,Lake Balboa,neighborhood
3033 N Beverly Glen Cir,90077,Los Angeles,SingleFamily,2018,879246.0,1990,13361,4044,5.0,6,2837887,Beverly Crest,neighborhood
13001 Sunburst St,91331,Pacoima,SingleFamily,2018,236451.0,1950,7405,883,1.0,2,410108,Pacoima,neighborhood
7706 Gentry Ave,91605,North Hollywood,SingleFamily,2018,302465.0,1948,6969,1371,2.0,4,575132,Sun Valley,neighborhood
2670 Bowmont Dr,90210,Beverly Hills,SingleFamily,2018,7341511.0,2003,53317,9900,10.0,7,11186112,Beverly Crest,neighborhood
156 W 73rd St,90003,Los Angeles,Duplex,2018,106846.0,1961,6161,2444,4.0,8,600437,Southeast Los Angeles,neighborhood
1804 4th St,91340,San Fernando,SingleFamily,2018,283607.0,1950,7263,1177,1.0,2,484574,San Fernando,city
3737 S Genesee Ave,90016,Los Angeles,SingleFamily,2018,588024.0,1951,6708,1543,2.0,3,983712,Crenshaw,neighborhood
1026 S Oxford Ave UNIT 504,90006,Los Angeles,Condominium,2018,606900.0,2009,13790,1200,2.0,2,623910,Mid City,neighborhood
10917 Brookfield Rd,91311,Chatsworth,SingleFamily,2018,620000.0,1972,8975,1677,2.0,3,667658,Chatsworth,neighborhood
2969 Park Center Dr,90068,Los Angeles,SingleFamily,2018,739500.0,1962,2491,570,1.0,1,792246,Hollywood Hills,neighborhood
7330 Darby Ave,91335,Reseda,SingleFamily,2018,310427.0,1950,9657,1376,2.0,3,568763,Reseda,neighborhood
